Temperature,Humidity,Soil_pH,Rainfall,Nitrogen,Phosphorus,Potassium,Yield
27.483570765056164,53.643604769659454,6.160752634756389,95.69730350623213,55.224293715002275,41.70873528746982,14.155424259516746,17.074759951516324
24.308678494144075,53.19878837424219,6.347250268473173,99.0203228877907,54.249853888035,40.122554306315415,21.560114824505025,17.61542664499912
28.23844269050346,33.06535241054977,6.201309469477429,101.92884635762745,35.952202312917635,35.688449335826355,25.303772749659313,15.836946199752106
32.61514928204013,55.04864712447844,6.55520902347306,128.4058438493854,58.69376332645607,39.97473339152213,31.19735128739753,18.41611694089837
23.829233126383322,70.99243622732618,7.098589265730956,77.5834807453977,27.64875986635073,44.908416254929435,38.193298612855024,17.878561085928915
23.8293152152541,40.88651821384807,6.114478921429398,74.6095902546202,40.18723511359507,38.738378710211606,35.55308754697411,14.97800531279801
32.896064077536955,75.72723976575888,7.000410248884207,137.09859226428927,20.013682806532884,44.19767630230274,20.565401612420118,20.0
28.837173645764544,67.31662231626507,6.109163963826556,86.12065774356105,73.37939775444222,31.633312215769525,27.02630190267478,16.494016224218303
22.65262807032524,48.98650017043443,6.0761863937515574,62.108939392688015,46.526757590820566,33.961063488542955,30.611004709620534,15.410449328204473
27.712800217929825,57.87705543993229,6.909297309171607,85.4461017370039,82.50326052224467,32.65679496726025,27.902343004428005,18.151246149876187
22.682911535937688,83.9748271146155,6.960968189003808,90.09841794267997,62.04424889779243,34.34868628207594,27.845638193053645,19.59171237911214
22.671351232148716,71.00321720258799,6.925704968381327,146.64888183177294,56.721473200265365,52.87181046706091,16.218053402765825,19.655521293931635
26.20981135783017,60.131754823472214,5.842101295890929,127.74478637130211,41.20658458578501,47.2603879311036,20.778126790882876,16.780102331689612
15.43359877671101,56.434750245585235,6.267024510963974,134.42561849896725,34.304749464688705,29.230768813156544,26.776481206885816,15.521202814559372
16.375410837434835,61.14913605677489,6.911494296001661,124.59920927040358,57.844573608454176,44.37498296408455,5.2541946004387015,17.429548090877347
22.188562353795138,52.32354663086545,6.520770920281947,128.38731014845942,48.92728986090527,36.0941768735143,35.12515456007883,17.751446488524266
19.93584439832788,28.42875741421478,5.963153576901268,79.35753620259045,29.910945267720486,33.17615414528434,19.018567202311445,13.316364500383605
26.571236662976368,90.63266865802096,6.729158969562721,94.04193533939547,27.247123752375224,25.14260534277493,35.4947050661211,18.63819671362463
20.459879622393945,62.32987498799102,6.142596370504265,70.30254060929353,35.61944406284624,49.71918693820244,34.79132803576728,15.769923100144679
17.938481493323543,65.97220897683806,7.397262424196106,93.685359083889,77.31450837899345,26.361368503328613,25.650455655100927,18.466674036724367
32.32824384460777,59.13138375184637,7.272420731209129,120.52314972804223,83.19916877016956,39.48036821990126,38.004386605612304,20.0
23.871118497567323,48.973247989131174,6.802048713177784,104.03749854436741,53.07483720963365,30.536887542751312,35.94557875939947,18.060754842307936
25.33764102343962,57.21113278576844,7.1805033523848865,139.34442456880885,52.23414194361933,47.758439470699244,27.528308233322875,19.41535310630412
17.876259068932715,36.00907856708533,6.53239567506169,65.75752623318341,44.955194422557184,36.65648173686049,26.625923078466414,14.389337340542806
